,total_transactions_other,total_uniqueReceivedFromAddresses_other,total_uniqueSentToAddresses_other,time_avgBetweenReceivedTxn_other,time_avgBetweenTxn_other,time_diffBetweenFirstAndLastSent_other,time_diffBetweenFirstAndLastTxn_other,erc20_uniqueTokenAddressesSent_other,erc20_uniqueTokenAddressesReceived_other,erc20_mostSentTokenAddress_other,erc20_mostReceivedTokenAddress_other,erc20_uniqueUnknownValueTokens_other,erc20_transactionsWithUnknownValueTokens_other,walletAddress,total_transactions_approval,total_etherSent_approval,total_etherReceived_approval,total_etherSentToContract_approval,total_sentTxn_approval,total_receivedTxn_approval,total_sentToContractTxn_approval,total_uniqueReceivedFromAddresses_approval,total_uniqueSentToAddresses_approval,time_avgBetweenTxn_approval,time_diffBetweenFirstAndLastTxn_approval,erc20_uniqueTokenAddressesSent_approval,erc20_uniqueTokenAddressesReceived_approval,erc20_mostSentTokenAddress_approval,erc20_uniqueUnknownValueTokens_approval,erc20_transactionsWithUnknownValueTokens_approval,total_transactions_transfer,total_etherSent_transfer,total_etherReceived_transfer,total_etherSentToContract_transfer,total_sentTxn_transfer,total_receivedTxn_transfer,total_sentToContractTxn_transfer,total_uniqueReceivedFromAddresses_transfer,total_uniqueSentToAddresses_transfer,time_avgBetweenTxn_transfer,time_diffBetweenFirstAndLastTxn_transfer,erc20_uniqueTokenAddressesSent_transfer,erc20_uniqueTokenAddressesReceived_transfer,erc20_mostSentTokenAddress_transfer,erc20_uniqueUnknownValueTokens_transfer,erc20_transactionsWithUnknownValueTokens_transfer,received:minValue,received:maxValue,received:avgValue,sent:minValue,sent:maxValue,sent:avgValue,sentToContract:minValue,sentToContract:maxValue,sentToContract:avgValue,total:transactions,total:etherSent,total:etherReceived,total:etherSentToContract,total:sentTxn,total:receivedTxn,total:sentToContractTxn,total:uniqueReceivedFromAddresses,total:uniqueSentToAddresses,time:avgBetweenSentTxn,time:avgBetweenReceivedTxn,time:avgBetweenTxn,time:diffBetweenFirstAndLastSent,time:diffBetweenFirstAndLastReceived,time:diffBetweenFirstAndLastTxn,Target
1779,,,,,,,,,,,,,,0x24924a7e13294c99a8c3b07be71f98edd34aab4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006545959095118,0.0006545959095118,0.0006545959095118,,,,0.0,0.0,0.0,1.0,0.0,0.0006545959095118,0.0,0.0,1.0,0.0,1.0,0.0,,0 days 00:00:00,0 days 00:00:00,,0 days 00:00:00,0 days 00:00:00,0
1780,,,,,,,,,,,,,,0x249ffb77761ed2546fbb1a8badddd8e95d10599e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003900803,0.003900803,0.003900803,,,,0.0,0.0,0.0,1.0,0.0,0.003900803,0.0,0.0,1.0,0.0,1.0,0.0,,0 days 00:00:00,0 days 00:00:00,,0 days 00:00:00,0 days 00:00:00,0
1781,,,,,,,,,,,,,,0x249bdb4499bd7c683664c149276c1d86108e2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001007424,0.0021182683,0.0011950088393939,0.0,0.0,0.0,33.0,0.0394352916999993,0.0,0.0,33.0,0.0,0.0,0.0,1.0,2 days 15:58:21.878787878,,2 days 15:58:21.878787878,87 days 23:06:02,,87 days 23:06:02,0
1782,,,,,,,,,,,,,,0x24ba1542f8a0a20e8251d096213384cfb0ee3dbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009783033395175,0.1999999999999999,0.0870149685853633,0.0,0.0,0.0,7.0,0.6091047800975434,0.0,0.0,7.0,0.0,0.0,0.0,3.0,10 days 10:55:30.714285714,,10 days 10:55:30.714285714,73 days 04:28:35,,73 days 04:28:35,0
1783,,,,,,,,,,,,,,0x24fbd4659d34df9d93aa31a30070a8710d6364d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0170557192707787,0.0249999999999999,0.0210278596353893,0.0,0.014,0.0047366666666666,0.0,0.0,0.0,5.0,0.0142099999999999,0.0420557192707786,0.0,3.0,2.0,1.0,1.0,3.0,7 days 01:45:12,2 days 07:48:08.500000,4 days 05:51:07.200000,21 days 05:15:36,4 days 15:36:17,21 days 05:15:36,0
1784,,,,,,,,,,,,,,0x24affae9c683b7615d4130300288e348e4b5d091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-19,6.5288e-15,3.2876500926955808e-15,0.0,0.0,0.0,2697.0,8.866792299999981e-12,0.0,0.0,2697.0,0.0,0.0,0.0,1.0,0 days 00:07:51.715980719,,0 days 00:07:51.715980719,14 days 17:23:38,,14 days 17:23:38,0
1785,,,,,,,,,,,,,,0x24bcbd37576944b285670e2c98c0d212ea16d568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000207635395806,0.009356,0.0026870726038103,0.1101150721925474,0.1101150721925474,0.1101150721925474,0.0,0.0,0.0,22.0,0.1101150721925474,0.0564285246800167,0.0,1.0,21.0,0.0,3.0,1.0,0 days 00:00:00,4 days 08:57:51.619047619,0 days 00:00:00,0 days 00:00:00,91 days 20:15:04,0 days 00:00:00,0
1786,,,,,,,,,,,,,,0x24ba9235564d1fa9e29b2c6d163414a8be190a89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0098675078820689,0.0249966559641664,0.0128121708869581,0.01,0.0249999999999999,0.0182775832037907,0.0,0.0,0.0,14.0,0.0913879160189535,0.1153095379826231,0.0,5.0,9.0,0.0,4.0,4.0,1 days 12:00:12,4 days 16:24:39.444444444,0 days 12:51:30,7 days 12:01:00,42 days 03:41:55,7 days 12:01:00,0
1787,,,,,,,,,,,,,,0x24ca781f226bb69502d861bfb420cb0a6fd549f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000586224,0.000586224,0.000586224,,,,0.0,0.0,0.0,1.0,0.0,0.000586224,0.0,0.0,1.0,0.0,1.0,0.0,,0 days 00:00:00,0 days 00:00:00,,0 days 00:00:00,0 days 00:00:00,0
1788,,,,,,,,,,,,,,0x24d4a6ba5c4a2e34777416f05ab368f451e1ce85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005212375,0.02291035,0.0125273973636363,0.0,0.027,0.0066469999999999,0.0,0.0,0.0,31.0,0.1329399999999999,0.1378013709999996,0.0,20.0,11.0,10.0,3.0,11.0,4 days 08:13:04.100000,8 days 00:28:55.454545454,2 days 19:14:14.258064516,86 days 20:21:22,88 days 05:18:10,86 days 20:21:22,0
